Date,Country,Series,Value
1923-07-01,GB,Detrended,-0.17
1923-07-01,GB,Levels,-6.711086652
1923-07-01,SE,Detrended,-0.05
1923-07-01,SE,Levels,-6.891094255
1923-07-01,US,Detrended,0
1923-07-01,US,Levels,-1.204013502
1923-07-01,ZA,Levels,-1.586943195
1923-10-01,AU,Levels,2.758385743
1923-10-01,BE,Detrended,-0.03
1923-10-01,BE,Levels,11.56592776
1923-10-01,CA,Detrended,0.05
1923-10-01,CA,Levels,-2.387411171
1923-10-01,CH,Levels,-0.662553042
1923-10-01,GB,Detrended,0.18
1923-10-01,GB,Levels,-5.513933658
1923-10-01,SE,Detrended,0.07
1923-10-01,SE,Levels,-5.07622639
1923-10-01,US,Detrended,0
1923-10-01,US,Levels,-0.420360648
1923-10-01,ZA,Levels,-1.114248087
1924-01-01,AU,Levels,2.027363811
1924-01-01,BE,Detrended,0.07
1924-01-01,BE,Levels,12.57955972
1924-01-01,CA,Detrended,0.04
1924-01-01,CA,Levels,-1.794962188
1924-01-01,CH,Detrended,0.11
1924-01-01,CH,Levels,0.575968689
1924-01-01,GB,Detrended,0.14
1924-01-01,GB,Levels,-4.331998542
1924-01-01,SE,Detrended,0.1
1924-01-01,SE,Levels,-3.468951229
1924-01-01,US,Detrended,0.07
1924-01-01,US,Levels,0.213245063
1924-01-01,ZA,Levels,-0.708410362
1924-04-01,AU,Levels,1.34445625
1924-04-01,BE,Detrended,0.12
1924-04-01,BE,Levels,13.00496405
1924-04-01,CA,Detrended,0.01
1924-04-01,CA,Levels,-1.285947557
1924-04-01,CH,Detrended,0.26
1924-04-01,CH,Levels,1.32049811
1924-04-01,GB,Detrended,-0.04
1924-04-01,GB,Levels,-3.24474535
1924-04-01,SE,Detrended,0.08
1924-04-01,SE,Levels,-2.127557635
1924-04-01,US,Detrended,0.01
1924-04-01,US,Levels,0.703549335
1924-04-01,ZA,Levels,-0.400689317
1924-07-01,AU,Levels,0.7737291
1924-07-01,BE,Detrended,0.12
1924-07-01,BE,Levels,13.01767756
1924-07-01,CA,Detrended,-0.04
1924-07-01,CA,Levels,-0.830791834
1924-07-01,CH,Detrended,0.13
1924-07-01,CH,Levels,1.636536875
1924-07-01,GB,Detrended,0
1924-07-01,GB,Levels,-2.300656546
1924-07-01,SE,Detrended,0
1924-07-01,SE,Levels,-1.081392099
1924-07-01,US,Detrended,0.01
1924-07-01,US,Levels,1.078974879
1924-07-01,ZA,Levels,-0.200742289
1924-10-01,AU,Levels,0.36580384
1924-10-01,BE,Detrended,0.11
1924-10-01,BE,Levels,12.85408843
1924-10-01,CA,Detrended,-0.04
1924-10-01,CA,Levels,-0.419668828
1924-10-01,CH,Detrended,0.05
1924-10-01,CH,Levels,1.601966201
1924-10-01,GB,Detrended,0.02
1924-10-01,GB,Levels,-1.53045239
1924-10-01,SE,Detrended,0.11
1924-10-01,SE,Levels,-0.344373501
1924-10-01,US,Detrended,-0.03
1924-10-01,US,Levels,1.364853692
1924-10-01,ZA,Levels,-0.099701861
1925-01-01,AU,Levels,0.129081993
1925-01-01,BE,Detrended,0.06
1925-01-01,BE,Levels,12.75291931
1925-01-01,CA,Detrended,-0.04
1925-01-01,CA,Levels,-0.059926177
1925-01-01,CH,Detrended,0.02
1925-01-01,CH,Levels,1.298737854
1925-01-01,GB,Detrended,-0.01
1925-01-01,GB,Levels,-0.958440393
1925-01-01,SE,Detrended,0.07
1925-01-01,SE,Levels,0.074678901
1925-01-01,US,Detrended,-0.02
1925-01-01,US,Levels,1.569902722
1925-01-01,ZA,Detrended,0.04
1925-01-01,ZA,Levels,-0.071852145
1925-04-01,AU,Detrended,-0.06
1925-04-01,AU,Levels,0.033824372
1925-04-01,BE,Detrended,0
1925-04-01,BE,Levels,12.93992918
1925-04-01,CA,Detrended,-0.05
1925-04-01,CA,Levels,0.23079237
1925-04-01,CH,Detrended,-0.04
1925-04-01,CH,Levels,0.817378579
1925-04-01,GB,Detrended,0.08
1925-04-01,GB,Levels,-0.578037373
1925-04-01,SE,Detrended,0.09
1925-04-01,SE,Levels,0.199125283
1925-04-01,US,Detrended,-0.04
1925-04-01,US,Levels,1.685336808
1925-04-01,ZA,Detrended,0.05
1925-04-01,ZA,Levels,-0.090480234
1925-07-01,AU,Detrended,-0.15
1925-07-01,AU,Levels,0.049000973
1925-07-01,BE,Detrended,-0.04
1925-07-01,BE,Levels,13.5559449
1925-07-01,CA,Detrended,-0.04
1925-07-01,CA,Levels,0.435442322
1925-07-01,CH,Detrended,-0.04
1925-07-01,CH,Levels,0.241761499
1925-07-01,GB,Detrended,0.01
1925-07-01,GB,Levels,-0.373264689
1925-07-01,SE,Detrended,-0.04
1925-07-01,SE,Levels,0.086261189
1925-07-01,US,Detrended,-0.04
1925-07-01,US,Levels,1.690570403
1925-07-01,ZA,Detrended,0.04
1925-07-01,ZA,Levels,-0.142363145
1925-10-01,AU,Detrended,-0.15
1925-10-01,AU,Levels,0.143243548
1925-10-01,BE,Detrended,-0.06
1925-10-01,BE,Levels,14.63889066
1925-10-01,CA,Detrended,-0.04
1925-10-01,CA,Levels,0.549696052
1925-10-01,CH,Detrended,-0.07
1925-10-01,CH,Levels,-0.347831424
1925-10-01,GB,Detrended,-0.01
1925-10-01,GB,Levels,-0.303075579
1925-10-01,SE,Detrended,-0.02
1925-10-01,SE,Levels,-0.16743252
1925-10-01,US,Detrended,-0.03
1925-10-01,US,Levels,1.567772489
1925-10-01,ZA,Detrended,-0.03
1925-10-01,ZA,Levels,-0.206114162
1926-01-01,AU,Detrended,-0.03
1926-01-01,AU,Levels,0.284693838
1926-01-01,BE,Detrended,-0.14
1926-01-01,BE,Levels,16.12794315
1926-01-01,CA,Detrended,-0.03
1926-01-01,CA,Levels,0.579854635
1926-01-01,CH,Detrended,-0.08
1926-01-01,CH,Levels,-0.873536056
1926-01-01,GB,Detrended,-0.08
1926-01-01,GB,Levels,-0.309025868
1926-01-01,SE,Detrended,-0.04
1926-01-01,SE,Levels,-0.454843315
1926-01-01,US,Detrended,0
1926-01-01,US,Levels,1.31932374
1926-01-01,ZA,Detrended,-0.06
1926-01-01,ZA,Levels,-0.258922938
1926-04-01,AU,Detrended,0.02
1926-04-01,AU,Levels,0.440061151
1926-04-01,BE,Detrended,-0.06
1926-04-01,BE,Levels,17.84847798
1926-04-01,CA,Detrended,0.07
1926-04-01,CA,Levels,0.54511863
1926-04-01,CH,Detrended,-0.06
1926-04-01,CH,Levels,-1.277573791
1926-04-01,GB,Detrended,0.01
1926-04-01,GB,Levels,-0.348722107
1926-04-01,SE,Detrended,0.02
1926-04-01,SE,Levels,-0.695117367
1926-04-01,US,Detrended,0.03
1926-04-01,US,Levels,0.968681606
1926-04-01,ZA,Detrended,-0.06
1926-04-01,ZA,Levels,-0.283022207
1926-07-01,AU,Detrended,0.04
1926-07-01,AU,Levels,0.573207854
1926-07-01,BE,Detrended,0.12
1926-07-01,BE,Levels,19.48243011
1926-07-01,CA,Detrended,0
1926-07-01,CA,Levels,0.458890048
1926-07-01,CH,Detrended,-0.08
1926-07-01,CH,Levels,-1.523121966
1926-07-01,GB,Detrended,-0.02
1926-07-01,GB,Levels,-0.415921274
1926-07-01,NZ,Levels,-0.367319813
1926-07-01,SE,Detrended,-0.08
1926-07-01,SE,Levels,-0.847545251
1926-07-01,US,Detrended,-0.02
1926-07-01,US,Levels,0.56087076
1926-07-01,ZA,Detrended,-0.05
1926-07-01,ZA,Levels,-0.258055473
1926-10-01,AU,Detrended,0
1926-10-01,AU,Levels,0.679309891
1926-10-01,BE,Detrended,0.16
1926-10-01,BE,Levels,20.63183881
1926-10-01,CA,Detrended,-0.04
1926-10-01,CA,Levels,0.347597562
1926-10-01,CH,Detrended,-0.13
1926-10-01,CH,Levels,-1.598051222
1926-10-01,GB,Detrended,-0.07
1926-10-01,GB,Levels,-0.518790382
1926-10-01,NZ,Levels,-0.344710387
1926-10-01,SE,Detrended,-0.14
1926-10-01,SE,Levels,-0.898364746
1926-10-01,US,Detrended,-0.04
1926-10-01,US,Levels,0.158238365
1926-10-01,ZA,Detrended,-0.03
1926-10-01,ZA,Levels,-0.182148685
1927-01-01,AU,Detrended,-0.03
1927-01-01,AU,Levels,0.783525316
1927-01-01,BE,Detrended,0.21
1927-01-01,BE,Levels,20.99699526
1927-01-01,CA,Detrended,-0.07
1927-01-01,CA,Levels,0.247814404
1927-01-01,CH,Detrended,-0.08
1927-01-01,CH,Levels,-1.516244437
1927-01-01,GB,Detrended,-0.08
1927-01-01,GB,Levels,-0.662640616
1927-01-01,NZ,Levels,-0.317189132
1927-01-01,SE,Detrended,-0.13
1927-01-01,SE,Levels,-0.859429167
1927-01-01,US,Detrended,-0.04
1927-01-01,US,Levels,-0.195659826
1927-01-01,ZA,Detrended,-0.01
1927-01-01,ZA,Levels,-0.072624024
1927-04-01,AU,Detrended,-0.03
1927-04-01,AU,Levels,0.904219083
1927-04-01,BE,Detrended,0.26
1927-04-01,BE,Levels,20.42998867
1927-04-01,CA,Detrended,-0.01
1927-04-01,CA,Levels,0.189053621
1927-04-01,CH,Detrended,-0.06
1927-04-01,CH,Levels,-1.311509194
1927-04-01,GB,Detrended,-0.06
1927-04-01,GB,Levels,-0.82119782
1927-04-01,NZ,Levels,-0.282523805
1927-04-01,SE,Detrended,-0.08
1927-04-01,SE,Levels,-0.756596741
