date,regime,rolling_average,cpi_q_yoy,country
1995-10-01,0,10.639184662444238,7.757047988910837,IN
1996-01-01,0,10.22233923434831,4.6851558099228585,IN
1996-04-01,0,9.812642315845153,3.6378435875908943,IN
1996-07-01,0,9.292114507162593,4.760838780567678,IN
1996-10-01,0,8.802467553108404,4.769963363069896,IN
1997-01-01,0,8.400904912785016,5.320673595087633,IN
1997-04-01,0,7.992471574297229,5.328265791916587,IN
1997-07-01,0,7.659496171615208,3.5771543011583473,IN
1997-10-01,0,7.397098134686091,4.139228326825206,IN
1998-01-01,0,7.253671075202412,4.53573314959459,IN
1998-04-01,0,7.182758198216112,5.5462066883408045,IN
1998-07-01,0,7.107977010085348,6.504764044902123,IN
1998-10-01,0,7.007416182273914,6.618261601700115,IN
1999-01-01,0,6.779285852446222,5.130285749162944,IN
1999-04-01,0,6.354694908532949,3.2527940467329985,IN
1999-07-01,0,5.975127338037152,2.6532524258670254,IN
1999-10-01,0,5.634220018811877,3.117306614632298,IN
2000-01-01,0,5.2618682497941425,4.1738384894520975,IN
2000-04-01,0,5.057099765728429,6.463013342099222,IN
2000-07-01,0,4.916828282261092,6.3649379476876655,IN
2000-10-01,0,4.922129823798201,7.863078819653047,IN
2001-01-01,0,5.078342644969618,7.8094122333512095,IN
2001-04-01,0,5.1682846565347385,5.436683818893284,IN
2001-07-01,0,5.182708979652373,5.049325242920366,IN
2001-10-01,0,5.070691197404232,2.5296077181070853,IN
2002-01-01,0,4.8823505794325985,1.553861235654952,IN
2002-04-01,0,4.707407222403125,1.8293986513271188,IN
2002-07-01,0,4.689614981576044,3.221309484616719,IN
2002-10-01,0,4.646105360708992,3.2690359094841748,IN
2003-01-01,0,4.678798907015709,5.189604075728926,IN
2003-04-01,0,4.709823616697806,6.166700881982745,IN
2003-07-01,0,4.6105964729921425,4.520221170788852,IN
2003-10-01,0,4.551239559686731,5.431123335591903,IN
2004-01-01,0,4.584639629841009,5.7982871522484825,IN
2004-04-01,0,4.6616599473236695,4.793200396386221,IN
2004-07-01,0,4.85870278120353,6.59410910346423,IN
2004-10-01,0,5.003214700313789,6.007544996837466,IN
2005-01-01,0,5.02660496769164,4.641643837009113,IN
2005-04-01,0,4.9503029453794,4.936972895854463,IN
2005-07-01,0,4.841833006884492,4.195539177789498,IN
2005-10-01,0,4.6568529979218845,4.163478640400875,IN
2006-01-01,0,4.4723064267033825,4.118480808981184,IN
2006-04-01,0,4.4859871423012745,5.71029813085111,IN
2006-07-01,0,4.569090557480291,6.711393546500699,IN
2006-10-01,0,4.786639661293782,6.88058979437689,IN
2007-01-01,0,5.045885432093035,6.738776651640022,IN
2007-04-01,0,5.230657353284543,5.524837075157274,IN
2007-07-01,0,5.2732342009876145,4.072846438678179,IN
2007-10-01,0,5.296769670121519,3.7397452921622554,IN
2008-01-01,0,5.335140702608277,5.9570247254640885,IN
2008-04-01,0,5.4776472304372925,9.016831438563045,IN
2008-07-01,0,5.8055930112298615,11.07913678664023,IN
2008-10-01,0,5.963095008341712,8.581163277828917,IN
2009-01-01,0,5.852220369882805,3.5807943830703293,IN
2009-04-01,0,5.635219425916025,0.45318151705064924,IN
2009-07-01,0,5.318514968409613,0.26001995333597705,IN
2009-10-01,0,5.231499220382604,4.267230036297298,IN
2010-01-01,1,5.4733405683272025,9.478470795901073,IN
2010-04-01,1,5.757749237680975,10.625146282929897,IN
2010-07-01,1,6.006624227657175,9.173038977313496,IN
2010-10-01,1,6.249415369661444,9.019301480486263,IN
2011-01-01,1,6.539229024344534,9.914753902642982,IN
2011-04-01,1,6.747054159238749,9.86680082873541,IN
2011-07-01,1,6.918006358115322,10.130437524032153,IN
2011-10-01,1,7.039819344659743,9.316849525265326,IN
2012-01-01,1,7.077706232260892,7.496514403663013,IN
2012-04-01,1,7.178471929045186,7.540151010843132,IN
2012-07-01,1,7.368112007789489,7.8656480135642415,IN
2012-10-01,1,7.54576937548736,7.2928926461196975,IN
2013-01-01,1,7.510120336381762,5.244043943352095,IN
2013-04-01,1,7.284786071396025,4.510146138848303,IN
2013-07-01,1,7.069681154164563,6.777038442010985,IN
2013-10-01,1,7.068687598862449,8.56129217178665,IN
2014-01-01,1,7.272807747466503,7.6631973551513966,IN
2014-04-01,1,7.6226370907986105,7.449768383692823,IN
